MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Half_Bath,Kitchen_AbvGr,Kitchen_Qual,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude,Log_SalePrice
Residential_Low_Density,75,10000,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,Average,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,0,Typical,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,763,763,GasA,Good,Y,SBrkr,0,1655,0,0,1,1,Typical,Typ,1,Typical,Attchd,Fin,2,Typical,Typical,Paved,157,84,0,0,0,0,No_Pool,No_Fence,Shed,0,4,2010,WD ,Normal,175900,-93.636947,42.05848,12.077676615757813
Residential_Low_Density,0,7980,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Above_Average,Good,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,0,Typical,Good,PConc,Good,Typical,No,ALQ,1,Unf,0,233,1168,GasA,Excellent,Y,SBrkr,0,1187,1,0,0,1,Typical,Typ,0,No_Fireplace,Attchd,Fin,2,Typical,Typical,Paved,483,21,0,0,0,0,No_Pool,Good_Privacy,Shed,500,3,2010,WD ,Normal,185000,-93.635951,42.057419,12.128116509451258
Residential_Low_Density,63,8402,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,Average,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,Typical,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,789,789,GasA,Good,Y,SBrkr,0,1465,0,0,1,1,Typical,Typ,1,Good,Attchd,Fin,2,Typical,Typical,Paved,0,75,0,0,0,0,No_Pool,No_Fence,Shed,0,5,2010,WD ,Normal,180400,-93.638647,42.058151,12.102937429832547
Residential_Low_Density,85,10176,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Good,Average,1990,Gable,CompShg,HdBoard,HdBoard,BrkFace,0,Typical,Typical,PConc,Good,Typical,Gd,GLQ,3,Unf,0,663,1300,GasA,Good,Y,SBrkr,0,1341,1,0,1,1,Good,Typ,1,Poor,Attchd,Unf,2,Typical,Typical,Paved,192,0,0,0,0,0,No_Pool,No_Fence,Shed,0,2,2010,WD ,Normal,171500,-93.634626,42.057268,12.052344376474922
Residential_Low_Density,0,6820,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,1985,Gable,CompShg,HdBoard,HdBoard,BrkFace,0,Good,Typical,PConc,Good,Typical,Av,GLQ,3,BLQ,1120,0,1488,GasA,Typical,Y,SBrkr,0,1502,1,0,1,1,Good,Typ,0,No_Fireplace,Attchd,RFn,2,Typical,Typical,Paved,0,54,0,0,140,0,No_Pool,No_Fence,Shed,0,6,2010,WD ,Normal,212000,-93.632913,42.059169,12.264346270624157
Residential_Low_Density,47,53504,Pave,No_Alley_Access,Moderately_Irregular,HLS,AllPub,CulDSac,Mod,Stone_Brook,Norm,Norm,OneFam,Two_Story,Very_Good,Average,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603,Excellent,Typical,PConc,Good,Typical,Gd,ALQ,1,Unf,0,234,1650,GasA,Excellent,Y,SBrkr,0,3279,1,0,1,1,Excellent,Mod,1,Good,BuiltIn,Fin,3,Typical,Typical,Paved,503,36,0,0,210,0,No_Pool,No_Fence,Shed,0,6,2010,WD ,Normal,538000,-93.62655,42.061239,13.195615697878253
Residential_Low_Density,152,12134,Pave,No_Alley_Access,Slightly_Irregular,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,OneFam,One_and_Half_Fin,Very_Good,Good,1988,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0,Good,Typical,Wood,Good,Typical,Av,GLQ,3,Unf,0,132,559,GasA,Good,Y,SBrkr,0,1752,0,0,0,1,Typical,Typ,0,No_Fireplace,Basment,RFn,2,Typical,Typical,Paved,325,12,0,0,0,0,No_Pool,No_Fence,Shed,0,6,2010,WD ,Normal,164000,-93.623595,42.060351,12.00762780434872
Residential_Low_Density,88,11394,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Stone_Brook,Norm,Norm,OneFam,One_Story,Excellent,Poor,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350,Good,Typical,PConc,Excellent,Typical,Av,GLQ,3,Unf,0,411,1856,GasA,Excellent,Y,SBrkr,0,1856,1,0,1,1,Excellent,Typ,1,Excellent,Attchd,Fin,3,Typical,Typical,Paved,113,0,0,0,0,0,No_Pool,No_Fence,Shed,0,6,2010,New,Partial,394432,-93.628804,42.05885,12.885204569609956
Residential_Low_Density,140,19138,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Below_Average,Average,1951,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,Typical,Typical,CBlock,Typical,Typical,No,LwQ,4,Unf,0,744,864,GasA,Excellent,Y,SBrkr,0,864,0,0,0,1,Typical,Typ,0,No_Fireplace,Detchd,Unf,2,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,Shed,0,6,2010,WD ,Normal,141000,-93.622971,42.056673,11.856522261533737
Residential_Low_Density,85,13175,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1978,Gable,CompShg,Plywood,Plywood,Stone,119,Typical,Typical,CBlock,Good,Typical,No,ALQ,1,Rec,163,589,1542,GasA,Typical,Y,SBrkr,0,2073,1,0,0,1,Typical,Min1,2,Typical,Attchd,Unf,2,Typical,Typical,Paved,349,0,0,0,0,0,No_Pool,Minimum_Privacy,Shed,0,2,2010,WD ,Normal,210000,-93.636655,42.054453,12.25486757159303
Residential_Low_Density,105,11751,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,Typical,Typical,CBlock,Good,Typical,No,BLQ,2,Unf,0,1139,1844,GasA,Excellent,Y,SBrkr,0,1844,0,0,0,1,Typical,Typ,1,Typical,Attchd,RFn,2,Typical,Typical,Paved,0,122,0,0,0,0,No_Pool,Minimum_Privacy,Shed,0,1,2010,COD,Normal,190000,-93.633962,42.050346,12.154784614286667
Residential_Low_Density,85,10625,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,SFoyer,Good,Above_Average,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81,Typical,Typical,CBlock,Good,Typical,Gd,GLQ,3,LwQ,168,0,1053,GasA,Typical,Y,SBrkr,0,1173,1,0,0,1,Good,Typ,2,Typical,Attchd,RFn,2,Typical,Typical,Paved,0,120,0,0,0,0,No_Pool,Minimum_Privacy,Shed,0,1,2010,WD ,Family,170000,-93.636372,42.05027,12.04355959836804
Floating_Village_Residential,0,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Good,Average,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,281,814,GasA,Excellent,Y,SBrkr,0,1674,1,0,1,1,Good,Typ,0,No_Fireplace,Attchd,RFn,2,Typical,Typical,Paved,0,96,0,0,0,0,No_Pool,No_Fence,Shed,0,1,2010,WD ,Normal,216000,-93.639366,42.049297,12.283038316285214
Residential_Low_Density,0,11241,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Good,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,426,1004,GasA,Excellent,Y,SBrkr,0,1004,1,0,0,1,Typical,Typ,1,Typical,Attchd,Fin,2,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,Shed,700,3,2010,WD ,Normal,149000,-93.626231,42.055147,11.91170829631447
Residential_Low_Density,0,12537,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1971,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,Typical,Typical,CBlock,Typical,Typical,No,GLQ,3,Unf,0,344,1078,GasA,Excellent,Y,SBrkr,0,1078,1,0,1,1,Typical,Typ,1,Fair,Attchd,Fin,2,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,Shed,0,4,2010,WD ,Normal,149900,-93.626537,42.054592,11.917730355182513
Residential_Low_Density,65,8450,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1968,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,Typical,Typical,CBlock,Typical,Typical,No,BLQ,2,Unf,0,281,1056,GasA,Excellent,Y,SBrkr,0,1056,1,0,0,1,Typical,Typ,1,Fair,Attchd,Unf,1,Typical,Typical,Paved,0,85,184,0,0,0,No_Pool,No_Fence,Shed,0,7,2010,WD ,Normal,142000,-93.628806,42.055227,11.863589378812122
Residential_Low_Density,70,8400,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Below_Average,Average,1970,Gable,CompShg,Plywood,Plywood,BrkFace,0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Rec,78,0,882,GasA,Typical,Y,SBrkr,0,882,1,0,0,1,Typical,Typ,0,No_Fireplace,Attchd,Fin,2,Typical,Typical,Paved,240,0,0,0,0,0,No_Pool,Minimum_Privacy,Shed,0,4,2010,WD ,Normal,126000,-93.627112,42.053395,11.744045122410057
Residential_Low_Density,70,10500,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Below_Average,Average,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,432,864,GasA,Typical,Y,SBrkr,0,864,0,0,0,1,Typical,Typ,1,Poor,No_Garage,No_Garage,0,No_Garage,No_Garage,Paved,0,0,0,0,0,0,No_Pool,No_Fence,Shed,0,4,2010,ConLI,Normal,115000,-93.622769,42.056375,11.652696102959753
Residential_High_Density,26,5858,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,TwnhsE,One_Story,Good,Average,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,BLQ,0,354,1405,GasA,Excellent,Y,SBrkr,0,1337,1,0,0,1,Good,Typ,1,Fair,Attchd,Fin,2,Typical,Typical,Paved,203,68,0,0,0,0,No_Pool,No_Fence,Shed,0,6,2010,WD ,Normal,184000,-93.624373,42.055318,12.122696471358964
Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Above_Average,Average,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,327,483,GasA,Typical,Y,SBrkr,0,987,0,0,1,1,Typical,Typ,0,No_Fireplace,Detchd,Unf,1,Typical,Typical,Paved,275,0,0,0,0,0,No_Pool,No_Fence,Shed,0,2,2010,COD,Normal,96000,-93.627271,42.051835,11.472113887062386
Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Average,Average,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,225,525,GasA,Typical,Y,SBrkr,0,1092,0,0,1,1,Typical,Typ,0,No_Fireplace,Detchd,Unf,1,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,Shed,0,3,2010,WD ,Normal,105500,-93.627536,42.051684,11.566475710526321
Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Above_Average,Average,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381,Typical,Typical,CBlock,Typical,Typical,No,Unf,7,Unf,0,525,525,GasA,Typical,Y,SBrkr,0,1092,0,0,1,1,Typical,Typ,0,No_Fireplace,Detchd,Unf,1,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,Shed,0,3,2010,WD ,Family,88000,-93.62728,42.051685,11.385103457032141
Residential_Low_Density,53,4043,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northpark_Villa,Norm,Norm,TwnhsE,One_Story,Above_Average,Average,1977,Gable,CompShg,Plywood,Plywood,BrkFace,0,Typical,Typical,CBlock,Good,Typical,No,ALQ,1,Unf,0,709,1069,GasA,Typical,Y,SBrkr,0,1069,0,0,0,1,Typical,Typ,1,Fair,Attchd,RFn,2,Typical,Typical,Paved,0,55,0,0,165,0,No_Pool,No_Fence,Shed,0,7,2010,WD ,Normal,127500,-93.627232,42.049672,11.755879486687116
Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Above_Average,Above_Average,1975,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,341,855,GasA,Typical,Y,SBrkr,0,1456,0,0,1,1,Good,Typ,1,Typical,Attchd,Unf,2,Typical,Typical,Paved,173,0,0,0,0,0,No_Pool,No_Fence,Shed,0,6,2010,WD ,Normal,149900,-93.625924,42.050683,11.917730355182513
Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Northpark_Villa,Norm,Norm,Twnhs,One_Story,Good,Above_Average,1975,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0,Typical,Typical,CBlock,Good,Typical,No,Unf,7,Unf,0,836,836,GasA,Excellent,Y,SBrkr,0,836,0,0,0,1,Typical,Typ,0,No_Fireplace,Attchd,Unf,1,Typical,Typical,Paved,0,30,0,0,0,0,No_Pool,No_Fence,Shed,0,6,2010,WD ,Normal,120000,-93.625966,42.050681,11.695255355062795
Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Above_Average,Average,1978,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0,Typical,Typical,CBlock,Good,Typical,No,ALQ,1,Unf,0,544,855,GasA,Fair,Y,SBrkr,0,1456,0,0,1,1,Typical,Typ,1,Typical,Attchd,Unf,2,Typical,Typical,Paved,26,0,0,0,0,0,No_Pool,No_Fence,Shed,0,7,2010,WD ,Normal,146000,-93.625848,42.049811,11.891368749982085
Residential_Low_Density,102,12858,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,Two_Story,Excellent,Average,2009,Gable,CompShg,VinylSd,VinylSd,Stone,162,Excellent,Typical,PConc,Excellent,Typical,No,Unf,7,Unf,0,1590,1590,GasA,Excellent,Y,SBrkr,0,2334,0,0,1,1,Excellent,Typ,1,Good,Attchd,Fin,3,Typical,Typical,Paved,144,133,0,0,0,0,No_Pool,No_Fence,Shed,0,1,2010,New,Partial,376162,-93.653201,42.062352,12.837777839071741
Residential_Low_Density,98,11478,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Very_Good,Average,2007,Gable,CompShg,VinylSd,VinylSd,Stone,200,Good,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,486,1704,GasA,Excellent,Y,SBrkr,0,1704,1,0,0,1,Good,Typ,1,Good,Attchd,RFn,3,Typical,Typical,Paved,0,50,0,0,0,0,No_Pool,No_Fence,Shed,0,5,2010,WD ,Normal,306000,-93.654645,42.062109,12.631343648903034
Residential_Low_Density,83,10159,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Excellent,Average,2009,Hip,CompShg,VinylSd,VinylSd,Stone,450,Excellent,Typical,PConc,Excellent,Typical,Av,GLQ,3,Unf,0,284,1930,GasA,Excellent,Y,SBrkr,0,1940,1,0,1,1,Excellent,Typ,1,Good,Attchd,Fin,3,Typical,Typical,Paved,168,95,0,0,0,0,No_Pool,No_Fence,Shed,0,4,2010,New,Partial,395192,-93.653733,42.061133,12.887129532148373
Residential_Low_Density,94,12883,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Very_Good,Average,2009,Gable,CompShg,VinylSd,VinylSd,Stone,256,Good,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1544,1544,GasA,Excellent,Y,SBrkr,0,1544,0,0,0,1,Good,Typ,0,No_Fireplace,Attchd,RFn,3,Typical,Typical,Paved,0,35,0,0,0,0,No_Pool,No_Fence,Shed,0,6,2010,New,Partial,290941,-93.652831,42.061289,12.580879213573434
Residential_Low_Density,95,12182,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Good,Average,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,Good,Typical,PConc,Good,Typical,Mn,BLQ,2,Unf,0,340,1541,GasA,Excellent,Y,SBrkr,0,1541,0,0,0,1,Good,Typ,1,Good,Attchd,RFn,2,Typical,Typical,Paved,0,70,0,0,0,0,No_Pool,No_Fence,Shed,0,5,2010,New,Partial,220000,-93.652713,42.060872,12.301387370778713
Residential_Low_Density,90,11520,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,PosN,Norm,OneFam,One_Story,Excellent,Average,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615,Good,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,1588,1698,GasA,Excellent,Y,SBrkr,0,1698,0,0,0,1,Excellent,Typ,1,Good,Attchd,Fin,3,Typical,Typical,Paved,192,74,0,0,0,0,No_Pool,No_Fence,Shed,0,6,2010,WD ,Normal,275000,-93.65332,42.060808,12.524530013005734
Residential_Low_Density,79,14122,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Very_Good,Average,2005,Hip,CompShg,CemntBd,CmentBd,BrkFace,240,Good,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,1794,1822,GasA,Excellent,Y,SBrkr,0,1822,0,0,0,1,Excellent,Typ,1,Good,Attchd,RFn,3,Typical,Typical,Paved,0,119,0,0,0,0,No_Pool,No_Fence,Shed,0,2,2010,WD ,Normal,259000,-93.652336,42.060879,12.464587201678082
